nama,kategori,deskripsi
Espresso,Hot,"Kopi hitam pekat tanpa gula, diseduh dengan tekanan tinggi."
Cappuccino,Hot,Espresso dengan susu panas berbusa lembut.
Iced Americano,Cold,Espresso dengan air dingin dan es batu.
Vanilla Latte,Hot,"Espresso, susu panas, dan sirup vanilla manis."
Caramel Macchiato,Cold,"Espresso dengan susu dingin, es, dan saus caramel."
Cold Brew,Cold,Kopi yang diseduh dengan air dingin selama 12 jam.
Flat White,Hot,Espresso dengan susu panas tanpa busa berlebih.
Mocha,Hot,"Kombinasi espresso, cokelat, dan susu panas."
Affogato,Cold,Espresso dituangkan ke atas es krim vanilla.
Nitro Cold Brew,Cold,Cold brew dengan nitrogen untuk tekstur lembut.
Macchiato,Hot,Espresso dengan sedikit busa susu di atasnya.
Irish Coffee,Hot,Kopi panas dicampur dengan whiskey dan krim.
Frappe,Cold,Kopi instan yang dikocok dengan es dan gula.
Latte,Hot,Espresso dengan susu panas dan sedikit busa.
Kopi Tubruk,Hot,Kopi bubuk kasar diseduh langsung dengan air panas.
Kopi Susu Gula Aren,Cold,Kopi espresso dengan susu dan gula aren.
Es Kopi Hitam,Cold,Kopi hitam tanpa gula disajikan dengan es.
Kopi Vietnam Drip,Hot,Kopi kental diseduh lambat menggunakan alat drip.
Iced Mocha,Cold,"Kopi, susu, dan cokelat disajikan dengan es batu."
Dalgona Coffee,Cold,Kopi kocok berbusa disajikan di atas susu dingin.
